

---------------------------------------------------

Inference for Stan model: anon_model_f0a4b0a480636fcaa2be8ca6b94a0f70.
4 chains, each with iter=2000; warmup=1000; thin=1; 
post-warmup draws per chain=1000, total post-warmup draws=4000.

               mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
mu[8]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[9]         -7.88  1.2e-3   0.08  -8.03  -7.93  -7.88  -7.83  -7.72   4000    1.0
mu[10]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[11]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[12]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[13]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[14]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[15]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[16]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[17]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[18]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[19]        -8.45  2.0e-3   0.12  -8.68  -8.53  -8.45  -8.37   -8.2   4000    1.0
mu[20]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[21]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[22]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[23]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[24]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[25]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[26]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[27]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[28]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[29]        -6.64  6.3e-4   0.04  -6.71  -6.66  -6.64  -6.61  -6.56   3425    1.0
mu[30]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[31]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[32]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[33]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[34]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[35]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[36]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[37]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[38]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[39]        -8.25  4.1e-3   0.26  -8.76  -8.42  -8.26   -8.1   -7.7   4000    1.0
mu[40]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[41]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[42]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[43]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[44]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[45]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[46]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[47]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[48]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[49]        -7.54  1.9e-3   0.12  -7.79  -7.61  -7.54  -7.46   -7.3   4000    1.0
mu[50]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[51]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[52]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[53]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[54]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[55]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[56]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[57]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[58]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[59]        -7.16  8.2e-4   0.05  -7.27  -7.19  -7.16  -7.13  -7.06   4000    1.0
mu[60]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[61]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[62]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[63]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[64]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[65]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[66]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[67]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[68]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[69]        -5.94  5.1e-4   0.03   -6.0  -5.95  -5.94  -5.92  -5.88   3613    1.0
mu[70]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[71]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[72]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[73]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[74]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[75]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[76]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[77]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[78]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[79]        -6.56  7.1e-4   0.04  -6.65  -6.59  -6.56  -6.54  -6.48   3606    1.0
mu[80]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[81]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[82]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[83]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[84]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[85]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[86]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[87]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[88]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[89]        -7.43  3.1e-3   0.15  -7.72  -7.52  -7.43  -7.34  -7.14   2216    1.0
mu[90]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[91]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[92]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
mu[93]        -7.43  3.7e-3   0.23   -7.9  -7.58  -7.42  -7.28  -6.97   4000    1.0
